120 434
3 69 8114160
94 81 8243649
74 19 9510431
55 34 9058295
83 17 2297756
9 96 3964562
75 23 5861801
52 113 11732301
6 96 11840860
2 107 199801
79 41 9370719
113 8 3144440
2 71 3008495
79 52 1480004
33 19 6883358
100 99 6995814
108 94 1230738
74 46 3485887
79 71 9300867
80 4 2272706
47 2 446336
106 11 6225208
21 40 4681707
42 110 10104187
89 35 9586552
82 101 3327291
7 112 9646898
15 10 969788
77 77 3292599
7 72 11269206
98 50 9072887
83 92 1273076
120 10 2337272
53 86 11273941
67 56 3943509
99 62 1403406
40 68 3136634
10 57 5993542
54 37 2721386
51 42 11471737
15 23 11541498
8 51 9138102
95 84 6017747
119 20 5807073
4 12 2601843
78 56 9283697
20 63 6976941
13 37 6008563
113 70 3288676
78 33 8148421
24 71 5358932
88 71 8008604
36 80 9948106
87 34 980543
55 17 8136038
13 111 6687305
2 52 4606112
52 13 363179
64 30 5843073
105 21 10502119
54 77 7226405
98 11 4277718
61 25 9150592
8 101 135651
86 77 4629461
38 113 456270
4 28 6711616
7 56 5265003
77 118 11672110
107 63 5285472
17 34 28064
26 19 10877994
33 27 6558764
54 18 917720
64 30 2846332
53 86 7194511
29 15 7922188
85 18 9446852
79 65 10295792
70 108 3967941
23 5 6848780
19 115 3604529
65 23 8875866
24 33 4864187
90 45 1735592
21 80 4582699
91 105 10033431
41 38 5875613
28 84 7749469
103 98 4443904
41 35 1210820
100 118 1151127
48 52 1846249
102 53 227196
25 7 7668669
118 36 1443416
36 54 11779784
86 90 933164
86 15 11262561
84 25 11543244
11 94 897399
53 4 6561055
117 46 3445899
106 73 7739680
3 15 4898483
93 39 1344288
2 70 2661081
92 62 2096001
16 9 11333178
109 43 2921148
19 74 8833256
16 43 10417116
69 9 6391241
88 60 6913281
19 20 6959957
89 25 2022751
57 113 11205083
107 68 6400892
95 48 7472893
93 84 3452917
46 115 8405935
18 31 4850105
19 38 321276
79 94 907788
51 89 2661889
26 61 10828486
101 75 9505264
60 65 10385746
11 62 8283599
39 10 8980016
88 80 9566134
81 104 5496947
18 109 7071061
63 40 7612867
65 7 843627
26 62 7493019
62 80 2357328
85 18 11906956
60 12 331756
20 85 9515961
34 26 2486781
5 58 6575897
95 9 8596950
98 39 1105721
60 21 6705882
45 51 535991
117 65 1746437
51 80 9056392
104 59 2846499
57 111 5876914
107 5 4013911
1 112 3730835
49 48 7915670
21 49 10627160
78 80 12018345
42 28 7829831
110 45 9313391
15 59 10830902
33 5 9295000
35 37 9835665
50 37 7912875
33 112 11600856
2 7 2924481
79 38 2684894
49 91 8275015
114 50 9933771
54 88 11294976
91 66 7803419
25 8 5850753
60 60 6939933
39 97 865780
51 58 6888182
30 81 2655189
102 32 782427
76 79 9956280
53 59 3488986
19 15 244993
3 57 4762258
104 115 12038314
117 69 11262453
15 44 4649025
24 17 7469005
56 48 3820455
22 43 9108021
21 67 558866
66 35 2850140
17 72 6632331
118 17 8401670
97 79 10742833
28 41 9595658
30 15 7518517
26 120 5066900
41 34 11887900
51 5 8246885
45 29 2846464
21 107 804494
9 62 3068175
109 75 2915257
59 38 6957258
52 28 3128928
45 63 3484360
101 61 4237844
74 5 545968
4 94 7651831
97 102 11812418
64 37 6520706
89 76 2792015
73 100 95872
11 71 3117373
66 21 11263185
83 92 11827588
119 80 6500520
95 67 3962739
88 49 8294926
5 2 764907
116 69 197085
17 85 4869219
118 106 5814021
60 31 1254051
35 116 809610
37 112 6356425
81 92 3020675
12 38 5862983
34 105 4431901
57 93 2575650
70 65 591063
1 18 668981
44 117 3393284
9 105 4802732
17 50 3616716
88 4 8348298
78 53 8996586
57 100 7211491
70 28 10891823
22 119 193250
53 105 7025150
78 10 2845124
65 111 350030
7 95 6936220
45 77 6852203
11 110 316173
65 72 7262262
95 12 3415699
10 74 4648992
71 72 3272378
24 79 10125427
115 107 731109
98 12 9146313
77 93 1728841
51 81 9903763
64 77 10347311
104 101 2211667
74 63 1802549
104 30 4011106
58 36 1773070
10 24 619115
82 64 10521533
113 74 10332526
53 21 3191518
67 79 8813310
74 2 4797278
37 120 3923523
6 119 1563774
80 108 1835961
46 24 3531859
87 41 6036655
114 72 3866441
38 2 7005193
10 53 4077275
68 57 1057855
5 88 7847325
105 99 5824348
84 67 640051
112 113 194943
35 2 11303511
86 3 3453981
40 117 1335063
56 12 7175869
34 34 11187668
72 11 11472059
106 76 8235844
81 45 359621
53 9 10009328
62 102 4533409
79 13 6636087
118 71 11410661
48 73 10499977
26 30 2445502
11 32 4054446
29 43 5616874
26 78 4194301
35 62 2426237
19 97 8948773
18 100 825952
45 90 8988391
67 9 3731149
59 106 3325145
89 109 11935509
39 111 2236965
8 25 9247002
104 30 4865608
7 65 6188373
20 24 3330387
62 105 1108113
54 15 120301
112 17 10736366
24 119 9176784
74 98 6846175
73 119 11166664
57 104 4657772
17 47 3997175
55 104 3294577
39 18 10328467
31 57 820765
106 11 10344038
44 108 1493748
28 81 7662221
21 70 11417422
71 36 6735994
60 75 8851669
52 63 937331
9 98 11718987
119 86 5998608
107 5 6776770
100 87 1375040
23 63 7497634
84 19 448261
14 101 9736742
32 83 4233907
115 88 4821151
44 108 7370805
66 103 9772784
13 117 8964105
